CODIGO,PROVINCIA,DISTRITO,UNIDADE SANITÁRIA,Latitude,Longitude,CLASSIFICAÇÃO,NÍVEL,TIPO DE US,TIPO
1110507,MAPUTO CIDADE,KAMABUKWANE,CS Bagamoio,-25.89753,32.57068,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS
1110512,MAPUTO CIDADE,KAMABUKWANE,CS Inhagoia,-25.91637,32.5587,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS
1110514,MAPUTO CIDADE,KAMABUKWANE,CS Magoanine,-25.87428,32.59877,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS
1110511,MAPUTO CIDADE,KAMABUKWANE,CS Magoanine Tendas,-25.84643,32.59739,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS
1110515,MAPUTO CIDADE,KAMABUKWANE,CS Zimpeto,-25.83118,32.57754,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS
1110508,MAPUTO CIDADE,KAMABUKWANE,HPsi Infulene,-25.85943,32.5665,HPsi - Hospital Psiquiátrico,Nível Primário,Hospital Psiquiatrico,HPsi
1110406,MAPUTO CIDADE,KAMAVOTA,CS 1 de Junho,-25.9148,32.60992,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS
1110411,MAPUTO CIDADE,KAMAVOTA,CS Albazine,-25.84223,32.64097,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS
1110414,MAPUTO CIDADE,KAMAVOTA,CS Hulene,-25.906,32.65623,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS
1110422,MAPUTO CIDADE,KAMAVOTA,CS Mavalane,-25.92999,32.58548,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS
1110415,MAPUTO CIDADE,KAMAVOTA,CS Pescadores,-25.906,32.65623,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS
1110412,MAPUTO CIDADE,KAMAVOTA,CS Romão,-25.87218,32.63003,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS
1110401,MAPUTO CIDADE,KAMAVOTA,HG Mavalane,-25.93123,32.58552,HG - Hospital Geral,Nível Secundário,Hospital Geral,HG
1110307,MAPUTO CIDADE,KAMAXAQUENE,CS 1 de Maio,-25.94818,32.58991,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS
1110318,MAPUTO CIDADE,KAMAXAQUENE,HG Polana Caniço,-25.93483,32.60505,HG - Hospital Geral,Nível Secundário,Hospital Geral,HG
1110701,MAPUTO CIDADE,KANYAKA,CS Inguane,-26.01954,32.95791,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS
1110708,MAPUTO CIDADE,KANYAKA,CS Inhaca,-26.0032,32.92028,Centro de Saúde Rural Tipo 1,Nível Primário,Centro de Saúde Rural,CS
1110719,MAPUTO CIDADE,KANYAKA,CS Muchina,-26.05705,32.91259,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS
1110106,MAPUTO CIDADE,KHAMPFUMO,CS Alto Maé,-25.9597,32.57019,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS
1110109,MAPUTO CIDADE,KHAMPFUMO,CS Malhangalene,-25.95056,32.58236,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS
1110107,MAPUTO CIDADE,KHAMPFUMO,CS Maxaquene,-25.97407,32.58334,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS
1110110,MAPUTO CIDADE,KHAMPFUMO,CS Polana Cimento,-25.96296,32.59443,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS
1110111,MAPUTO CIDADE,KHAMPFUMO,CS Porto,-25.97213,32.56545,Centro de Saúde Urbano Tipo A,Nível Primário,Centro de Saúde Urbano,CS
1110101,MAPUTO CIDADE,KHAMPFUMO,HC Maputo,-25.96729,32.58994,HC - Hospital Central,Nível Quaternário,Hospital Central,HC
1110102,MAPUTO CIDADE,KHAMPFUMO,HM Maputo,-25.95681,32.59251,HM - Hospital Militar,Nível Quaternário,Hospital Militar,HM
1110609,MAPUTO CIDADE,KHATEMBE,CS Catembe,-26.02314,32.57841,Centro de Saúde Rural Tipo 1,Nível Primário,Centro de Saúde Rural,CS
